#{"t_start": 1744592436.020156, "env_id": "None"}
r,l,t
-161.199643,200,82.532477
-202.157891,200,82.912588
-175.227437,200,83.210943
-166.984426,200,83.495289
-184.406349,200,83.794549
-200.054587,200,84.122686
-169.424578,200,84.42396
-159.670039,200,84.764215
-162.962939,200,85.091694
-179.925366,200,85.430315
-153.902869,200,85.79414
-164.768787,200,86.130601
-171.417686,200,86.414993
-200.53513,200,86.72748
-178.718374,200,87.106207
-187.985682,200,87.392646
-166.816528,200,87.67901
-186.426367,200,87.984226
-178.741715,200,88.281978
-175.306143,200,88.575955
-198.50021,200,88.830413
-199.898518,200,89.115434
-161.169384,200,89.401416
-174.178781,200,89.725706
-179.136842,200,90.038715
-184.086807,200,90.347276
-167.735158,200,90.703835
-191.983456,200,91.0289
-180.195506,200,91.341702
-197.987908,200,91.68856
-193.336941,200,92.038984
-202.223893,200,92.397727
-194.450965,200,92.685943
-190.414154,200,92.969221
-179.175876,200,93.244479
-188.331157,200,93.55571
-157.483976,200,93.861219
-196.793026,200,94.275501
-169.939857,200,94.557283
-185.555335,200,94.843112
-174.580754,200,95.121197
-189.382201,200,95.409218
-199.314181,200,95.734571
-193.577176,200,96.093325
-178.918772,200,96.398517
-190.91342,200,96.703329
-193.70971,200,97.013401
-187.516601,200,97.386691
-170.645141,200,97.678412
-195.081701,200,97.984513
-164.976147,200,98.267483
-188.687963,200,98.755872
-187.410527,200,99.080333
-179.259806,200,99.386189
-200.285218,200,99.66681
-182.479579,200,99.987229
-173.268112,200,100.266321
-195.650743,200,100.566645
-183.770402,200,100.853516
-182.456707,200,101.169568
-176.708251,200,101.493312
-193.38197,200,101.768878
-197.561425,200,102.069813
-179.395161,200,102.3767
-204.88767,200,102.643599
-182.862054,200,102.950389
-189.006863,200,103.236796
-202.911191,200,103.53933
-186.530059,200,103.82854
-181.891893,200,104.1297
-173.748256,200,104.458322
-180.655574,200,104.763052
-185.079249,200,105.0546
-208.161591,200,105.405187
-202.938015,200,105.722229
-185.648621,200,106.02533
-179.887536,200,106.383016
-192.475636,200,106.717792
-187.50043,200,107.037005
